Location,itemID,Acquisition,Hash,Notes
TRG_Interactor_Conversation_Varham_PostFight@(139.62, 16.21, 0.00),HealingPotion,Loot,,
TRG_Interactor_PotionLoot@(-83.59, -26.44, 0.00),HealingPotion,Loot,Not an item but a healing refresh,
TRG_KIN_THO_CIN_Palace_Ceremony@(25.50, 0.00, 0.00),KeyItem_ThomyrisScarf,Loot,,
TRG_IASpawn@(106.34, 4.49, 0.00),FocusPiercingAttack,Ability,,
TRG_DIAL_LittleGirlMeeting@(40.50, -3.00, 0.00),MiniMap,Ability,,
TRG_DIAL_LittleGirlMeeting@(40.50, -3.00, 0.00),MinimapEye,Loot,,
TRG_DIAL_LittleGirlMeeting@(40.50, -3.00, 0.00),Vision,Ability,,
TRG_DIAL_LittleGirlMeeting@(40.50, -3.00, 0.00),VisionSlots,Loot,,
TRG_DIAL_LittleGirlMeeting@(40.50, -3.00, 0.00),GearUpgrade_VisionPackShop1,Loot,,
PFB_GPE_LoreItem_21_Mirror@(69.50, 0.50, 0.00),LoreItem_21_Mirror,Loot,,
TRG_CIT_LOW_DIA_The_MapTeller_Talk_01_A@(160.50, 37.50, 0.00),StoneOfKnowledge_Life,Loot,,
PFB_GPE_FocusAbility_WindSlah Variant@(-36.25, 13.00, 0.00),FocusWindSlashAttack,Ability,,
FPB_GPE_DamascusOre_FromChest(Clone)@(29.00, 16.04, 0.25),DamascusOre,Loot,2095780249,
PFB_GPE_Token@(~20.91, -15.04, 0.00),CollectorToken,Loot,,
NPC_ShopKeeper_Cartographer Old_Lady Variant@(161.72, 37.50, 2.00),HaomaFragment,Shop,,
NPC_ShopKeeper_Cartographer Old_Lady Variant@(161.72, 37.50, 2.00),SeedOfKnowledge,Shop,,
NPC_ShopKeeper_Cartographer Old_Lady Variant@(161.72, 37.50, 2.00),CollectorToken,Shop,,
NPC_ShopKeeper_Cartographer Old_Lady Variant@(161.72, 37.50, 2.00),StoneOfKnowledge_Poison,Shop,,
NPC_ShopKeeper_Cartographer Old_Lady Variant@(161.72, 37.50, 2.00),GearUpgrade_PotionCount_PackShop1,ShopUpgrade,,
NPC_ShopKeeper_Cartographer Old_Lady Variant@(161.72, 37.50, 2.00),GearUpgrade_PotionHealingEffect_PackShop1,ShopUpgrade,,
NPC_ChallengeGiver_Artaban@(187.50, 53.50, 2.00),Vision,Ability,Not an actual item,
NPC_ChallengeGiver_Artaban@(187.50, 53.50, 2.00),MiniMap,Ability,Not an actual item,
